Date,RELIANCE,TCS,BAJAJ,BHARTIARTL,TATASTEEL,HDFC,CIPLA,HAVELLS
26-12-2019,1490.759155,2145.953613,4170.759277,445.948608,446.095459,1264.975098,472.921631,632.762024
24-12-2019,1521.304321,2159.256836,4123.344727,455.514252,441.423828,1283.594604,477.459869,639.82074
23-12-2019,1545.848511,2174.947266,4143.764648,453.172668,440.613403,1296.787476,466.63797,641.54834
20-12-2019,1573.098145,2166.370605,4119.459961,452.176239,439.517029,1291.112061,464.543396,633.008911
19-12-2019,1583.771851,2172.36499,4075.880615,447.841827,425.931091,1283.246094,466.388611,638.636108
18-12-2019,1550.226196,2112.623291,4103.273438,436.731689,424.024292,1286.780762,466.588074,643.720215
17-12-2019,1537.290039,2109.894775,4119.609375,438.375824,418.923584,1265.622314,462.748077,634.193542
16-12-2019,1541.126709,2072.666016,4023.685059,420.340576,401.381042,1251.931641,457.062836,640.314331
13-12-2019,1557.161621,2018.577515,4056.05835,426.269257,408.436218,1258.403564,460.055054,646.139038
12-12-2019,1542.700562,1969.508057,4041.315918,437.080444,399.188232,1258.154663,459.85556,643.967102
11-12-2019,1536.994995,1989.973877,4021.04541,441.165771,386.651031,1243.368652,448.784332,627.332336
10-12-2019,1536.552246,1961.66272,3971.290527,445.400574,383.314148,1244.115479,451.876282,639.1297
09-12-2019,1547.029053,2008.052124,3929.45459,444.2547,387.747467,1237.593628,446.739624,649.989197
06-12-2019,1529.616943,2069.596191,3936.227783,443.25827,384.458221,1240.68042,454.270111,652.950867
05-12-2019,1525.63269,2067.35498,3975.274902,445.749329,381.169006,1240.2323,460.404144,661.835876
04-12-2019,1527.452637,2025.642822,3975.274902,459.749054,390.226288,1246.256226,468.782379,664.205139
03-12-2019,1553.226685,1998.842529,3949.077637,457.457275,381.026001,1249.990112,463.047302,661.440979
02-12-2019,1560.703125,1969.654175,3935.032471,456.959076,401.238037,1260.29541,462.797943,662.773682
